"X","video_group","spike_experience1","spike_experience2","gender","age","sports","distracted","sound","video","excitement_score","understanding_score","positive_hw","negative_hw","num_touches","num_poss_changes","point_duration","num_body_blocks","num_dives","commentary","scoreboard","jersey","fans_cheering","slowmo_replay","new_rules","control","spike_ordered_id","control_diff"
48,3,"Experienced player","","Male","18-25","Basketball, American Football","No","Sound on",20,7,1,"High pace and energy of the point, Uncertainty of who will win the point, Length of point","",20,7,15.99,1,2,0,0,1,0,0,0,0,1,2
49,3,"Have played some/familiar with the game","Watch sports at least semi-regularly","Male","18-25","Basketball, Tennis, American Football","No","Sound on",20,8,2,"High pace and energy of the point, Uncertainty of who will win the point, Length of point","Poor production value",20,7,15.99,1,2,0,0,1,0,0,0,0,2,2
50,3,"Have played some/familiar with the game","","Male","18-25","Soccer, Golf, Hockey","No","Sound on",20,7,3,"High pace and energy of the point, Uncertainty of who will win the point, Length of point","Poor production value",20,7,15.99,1,2,0,0,1,0,0,0,0,3,3
51,3,"Experienced player","","Male","18-25","Soccer, Basketball","No","Sound on",20,7,1,"High pace and energy of the point, Uncertainty of who will win the point","",20,7,15.99,1,2,0,0,1,0,0,0,0,4,2
52,3,"Have played some/familiar with the game","","Male","18-25","Baseball, American Football, Volleyball","No","Sound on",20,9,1,"Uncertainty of who will win the point, Length of point, Good production value","Slow Pace",20,7,15.99,1,2,0,0,1,0,0,0,0,5,3
53,3,"Experienced player","","Male","13-17","Soccer","No","Sound on",20,8,2,"Uncertainty of who will win the point, Length of point","Poor production value",20,7,15.99,1,2,0,0,1,0,0,0,0,6,3
54,3,"Experienced player","","Female","18-25","Soccer, Basketball, Volleyball","No","Sound on",20,10,1,"High pace and energy of the point, Uncertainty of who will win the point, Athleticism of the players, Length of point, Good production value","",20,7,15.99,1,2,0,0,1,0,0,0,0,7,5
55,3,"Experienced player","","Male","18-25","Soccer, Tennis","Yes","Sound on",20,9,10,"Uncertainty of who will win the point","Slow Pace, Point was predictable",20,7,15.99,1,2,0,0,1,0,0,0,0,8,1
56,3,"Experienced player","","Male","18-25","American Football, Disc golf, spikeball","No","Sound on",20,9,1,"High pace and energy of the point, Uncertainty of who will win the point, Athleticism of the players, Length of point","I am biased because I was in this clip but no negative feedback",20,7,15.99,1,2,0,0,1,0,0,0,0,9,4
57,3,"Experienced player","Watch sports at least semi-regularly","Male","18-25","Basketball, American Football","No","Sound on",20,7,1,"Uncertainty of who will win the point, Length of point","",20,7,15.99,1,2,0,0,1,0,0,0,0,10,2
58,3,"Experienced player","","Male","18-25","Tennis, American Football, Volleyball","No","Sound on",20,9,2,"High pace and energy of the point, Athleticism of the players","",20,7,15.99,1,2,0,0,1,0,0,0,0,11,6
59,3,"Experienced player","Watch sports at least semi-regularly","Male","26-35","Basketball, American Football, Volleyball","No","Sound on",20,8,2,"Uncertainty of who will win the point, Athleticism of the players, Length of point","Poor production value",20,7,15.99,1,2,0,0,1,0,0,0,0,12,4
60,3,"Experienced player","Watch sports at least semi-regularly","Male","26-35","Soccer, Basketball, Baseball, Tennis, American Football, Golf, Volleyball, Ultimate. Anything really ","Yes","Sound on",20,10,1,"High pace and energy of the point, Uncertainty of who will win the point, Athleticism of the players, Length of point","",20,7,15.99,1,2,0,0,1,0,0,0,0,13,3
61,3,"Experienced player","","Male","18-25","","No","Sound on",20,8,1,"High pace and energy of the point, Uncertainty of who will win the point, Athleticism of the players, Length of point","Poor production value",20,7,15.99,1,2,0,0,1,0,0,0,0,14,2
62,3,"Experienced player","","Male","18-25","Soccer, Basketball, American Football","No","Sound on",20,9,1,"High pace and energy of the point, Athleticism of the players, Length of point","",20,7,15.99,1,2,0,0,1,0,0,0,0,15,5
78,5,"Have played some/familiar with the game","Watch sports at least semi-regularly","Male","18-25","Soccer, Basketball, American Football","No","Sound off",20,5,3,"Athleticism of the players","Slow Pace, Poor production value",20,7,15.99,1,2,0,0,1,0,0,0,0,16,2
79,5,"Experienced player","","Male","26-35","Basketball, Baseball, Hockey","No","Sound on",20,9,3,"High pace and energy of the point, Athleticism of the players, Length of point","",20,7,15.99,1,2,0,0,1,0,0,0,0,17,5
80,5,"Experienced player","Watch sports at least semi-regularly","Male","18-25","Basketball, Baseball, American Football","No","Sound on",20,9,8,"High pace and energy of the point, Athleticism of the players, Length of point","",20,7,15.99,1,2,0,0,1,0,0,0,0,18,5
81,5,"Have played some/familiar with the game","","Male","18-25","Soccer, Basketball, Baseball","No","Sound on",20,7,1,"High pace and energy of the point, Uncertainty of who will win the point, Athleticism of the players, Length of point","Poor production value",20,7,15.99,1,2,0,0,1,0,0,0,0,19,4
82,5,"Have played some/familiar with the game","","Male","18-25","Basketball, American Football","No","Sound on",20,6,5,"High pace and energy of the point, Athleticism of the players","Difficult to keep track of ball",20,7,15.99,1,2,0,0,1,0,0,0,0,20,3
83,5,"Have played some/familiar with the game","","Male","18-25","Basketball, Tennis, Volleyball","No","Sound on",20,5,3,"High pace and energy of the point, Uncertainty of who will win the point","",20,7,15.99,1,2,0,0,1,0,0,0,0,21,2
84,6,"Experienced player","","Male","18-25","Basketball, Baseball, American Football","No","Sound on",20,9,1,"High pace and energy of the point, Uncertainty of who will win the point, Athleticism of the players, Length of point, Good production value","",20,7,15.99,1,2,0,0,1,0,0,0,0,22,4
85,6,"Have played some/familiar with the game","","Male","18-25","Basketball, American Football, water polo","Yes","Sound on",20,7,3,"High pace and energy of the point, Uncertainty of who will win the point, Athleticism of the players, Length of point, Good production value","",20,7,15.99,1,2,0,0,1,0,0,0,0,23,3
86,6,"Experienced player","Watch sports at least semi-regularly","Male","18-25","Basketball, American Football","No","Sound on",20,10,10,"High pace and energy of the point, Uncertainty of who will win the point, Athleticism of the players, Length of point","",20,7,15.99,1,2,0,0,1,0,0,0,0,24,7
87,6,"Experienced player","","Male","18-25","Basketball, American Football, Volleyball, Lacrosse ","No","Sound on",20,10,1,"High pace and energy of the point, Uncertainty of who will win the point, Athleticism of the players, Length of point, Good production value","",20,7,15.99,1,2,0,0,1,0,0,0,0,25,4
88,6,"Have played some/familiar with the game","Watch sports at least semi-regularly","Male","18-25","Basketball, American Football","No","Sound on",20,10,1,"High pace and energy of the point, Uncertainty of who will win the point, Athleticism of the players, Length of point, Good production value","",20,7,15.99,1,2,0,0,1,0,0,0,0,26,5
89,6,"Have played some/familiar with the game","","Male","18-25","Basketball","Yes","Sound on",20,9,3,"High pace and energy of the point, Uncertainty of who will win the point, Athleticism of the players, Length of point","Poor production value",20,7,15.99,1,2,0,0,1,0,0,0,0,27,3
90,6,"Have played some/familiar with the game","","Male","18-25","Basketball, American Football","Yes","Sound on",20,9,7,"High pace and energy of the point, Uncertainty of who will win the point, Athleticism of the players, Length of point","Poor production value",20,7,15.99,1,2,0,0,1,0,0,0,0,28,4
91,6,"Have played some/familiar with the game","","Male","26-35","American Football, Volleyball","No","Sound off",20,10,3,"High pace and energy of the point, Uncertainty of who will win the point, Athleticism of the players, Length of point","",20,7,15.99,1,2,0,0,1,0,0,0,0,29,6
92,6,"Have played some/familiar with the game","","Male","18-25","Basketball, Volleyball","No","Sound on",20,10,1,"High pace and energy of the point, Uncertainty of who will win the point, Athleticism of the players, Length of point, Good production value","",20,7,15.99,1,2,0,0,1,0,0,0,0,30,3
93,6,"Experienced player","","Male","18-25","Basketball, Tennis, American Football","No","Sound on",20,9,9,"High pace and energy of the point, Uncertainty of who will win the point, Athleticism of the players, Length of point","",20,7,15.99,1,2,0,0,1,0,0,0,0,31,6
